OC209--YB8	- Talaud 
OC210--YB8	- Sangihe 
OC211--VK6	- Houtman Abrolhos 
OC212--VK2	- NSW State Centre 
OC213--YB8	- Togian 
OC214--VK6	- WA NW Coast East 
OC215--YB5	- Mentawai 
OC216--VK	- Northern Territory outlier 
OC217--YB3	- Kangean 
OC218--FK	- Matthew 
OC219--YB8	- Tukangbesi 
OC220--VK5	- South Australia 
OC221--YB8	- Kai isl. 
OC222--YB8	- Obi isl. 
OC223--VK2	- New South Wales state south 
OC224--YB8	- Tanimbar isl 
OC225--DU8	- Turtle isl 
OC226--V6	- Pingelap and Mwokil (Mokil) atolls 
SA001--CE0	- Easter 
SA002--VP8	- Falkland 
SA003--PY0F	- Fernando/Noronh 
SA004--HC8	- Galapagos 
SA005--CE0	- Juan Fernando 
SA006--PJ	- Netherlands Antilles 
SA007--HK0	- Mapelo 
SA008--LU/CE	- Tierra del Fuego 
SA009--9Y	- Tobago 
SA010--PY0T	- Trindade 
SA011--9Y	- Trinidad 
SA012--YV	- Nueva Esparta 
SA013--CE0	- San Felix 
SA014--PY0S	- St. Peter & Paul 
SA015--YV	- Los Monjes 
SA016--PR8	- Maranhao Cen 
SA017--HK0	- Gorgona 
SA018--CE7	- Chiloe 
SA019--PY6	- Abrolhos 
SA020--FY	- Salut 
SA021--LU	- B.Aires Pr. West 
SA022--LU	- B.Aires Pr. South 
SA023--PY6	- Bahia Centre 
SA024--PY2	- Sao Paulo South 
SA025--PR8	- Maranhao East 
SA026--PP5	- Santa Catarina South 
SA027--PP5	- Santa Catarina North 
SA028--PY2	- Sao Paulo North 
SA029--PY1	- Rio de Janeiro 
SA030--CX	- Flores 
SA031--CE8	- Wollaston 
SA032--CE8	- Wellington 
SA033--HC4	- La Plata 
SA034--HC2	- Puna 
SA035--YV	- Los Roques 
SA036--P4	- Aruba 
SA037--YV	- La Blanquilla 
SA038--PY0R	- Atol/Rocas 
SA039--CX	- Lobos 
SA040--HK1	- Rosario 
SA041--PR8	- Maranhao West 
SA042--PY8	- Para West 
SA043--CE7	- Guaitecas 
SA044--YV	- La Tortuga 
SA045--PQ8	- Amata 
SA046--PY7	- Pernambuco 
SA047--PY5	- Parana 
SA048--YV	- Sucre/Anzoate 
SA049--LU/X	- Los Estados 
SA050--CE8	- Navarino 
SA051--YV	- Las Aves 
SA052--OA4	- San Lorenzo 
SA053--CE7	- San Pedro 
SA054--YV	- La Orchila 
SA055--LU	- B. Aires Pr. N 
SA056--HC4	- La Isla-Cojimie 
SA057--CX	- San Gabriel 
SA058--YV	- Farallon Centi 
SA059--YV	- Los Testigos 
SA060--PY8	- Para East 
SA061--CE6	- Mocha 
SA062--PY6	- Bahia South 
SA063--YV8	- Monagas/Delt 
SA064--CE7	- Los Chonos 
SA065--LU	- Chubut South 
SA066--YV1	- Zulia/Falcon 
SA067--PP1	- Espirito Santo 
SA068--8R	- Laguan 
SA069--CE1	- Santa Maria 
SA070--CE5	- QuiriQuina 
SA071--PY2	- Sao Paula Ce. 
SA072--PR8	- Maranhao East 
SA073--OA5	- Ica Dept. Group 
SA074--OA3	- Amcash Dept. 
SA075--OA2	- La Libertad Dept. 
SA076--OA1	- Tumbes/Piura/Lambayeque 
SA077--PY1	- Rio de Janeiro East 
